Item,Frequency,Pronunciation
performance,21.82,P AH R F AO R M AH N S
performer,2.41,P AH R F AO R M AH R
perfume,11.43,P AH R F Y UW M
perfumery,0.04,P AH R F Y UW M AH R IY
perfunctory,0.18,P AH R F AH NG K T AH R IY
perhaps,136.06,P AH R HH AE P S
peril,1.92,P EH R AH L
perilous,0.78,P EH R AH L AH S
perimeter,9.04,P AH R IH M AH T AH R
period,27.78,P IH R IY IH D
periodic,0.41,P IH R IY AA D IH K
periodical,0.18,P IH R IY AA D IH K AH L
periodontal,0.08,P EH R IY AH D AA N T AH L
peripheral,0.96,P AH R IH F AH R AH L
periphery,0.31,P AH R IH F AH R IY
periscope,1.37,P EH R IH S K OW P
perish,2.59,P EH R IH SH
perishable,0.25,P EH R IH SH AH B AH L
periwinkle,0.18,P EH R IH W IH NG K AH L
perjury,2.25,P AH R JH AH R IY
perk,1.41,P AH R K
perky,1.67,P AH R K IY
permanence,0.22,P AH R M AH N AH N S
permanent,12.14,P AH R M AH N IH N T
permeate,0.08,P AH R M IY EY T
permissible,0.45,P AH R M IH S AH B AH L
permission,31.12,P AH R M IH SH IH N
permissive,0.1,P AH R M IH S IH V
permit,12.1,P AH R M IH T
pernicious,0.27,P AH R N IH SH IH S
peroxide,1.08,P AH R AA K S AY D
perpendicular,0.2,P AH R P IH N D IH K Y UH L AH R
perpetrate,0.08,P AH R P AH T R EY T
perpetration,0.02,P AH R P AH T R EY SH IH N
perpetrator,1.69,P AH R P AH T R EY T AH R
perpetual,1.55,P AH R P EH CH UW AH L
perpetuate,0.37,P AH R P EH CH UW EY T
perpetuation,0.04,P AH R P EH CH AH W EY SH AH N
perplex,0.04,P AH R P L EH K S
perplexing,0.25,P AH R P L EH K S IH NG
persecute,0.61,P AH R S IH K Y UW T
persecution,1.18,P AH R S IH K Y UW SH IH N
persecutory,0.02,P AH R S IH K Y UW T AO IY
perseverance,0.73,P AH R S AH V IH R AH N S
persevere,0.37,P AH R S AH V IH R
persiflage,0.04,P AH R S AH F L AA ZH
persimmon,0.08,P AH R S IH M AH N
persist,1.2,P AH R S IH S T
persistence,0.82,P AH R S IH S T AH N S
persistent,2.59,P AH R S IH S T AH N T
person,212.88,P AH R S AH N
persona,1.49,P AH R S OW N AH
personage,0.22,P AH R S AH N IH JH
personal,91.67,P AH R S AH N AH L
personality,15.9,P AH R S AH N AE L IH T IY
personalize,0.29,P AH R S AH N AH L AY Z
personification,0.25,P AH R S AA N AH F AH K EY SH AH N
personify,0.12,P AH R S AA N AH F AY
personnel,16.37,P AH R S AH N EH L
perspective,8.22,P AH R S P EH K T IH V
perspiration,0.53,P AH R S P AH R EY SH IH N
perspire,0.22,P AH R S P AY R
persuade,6.39,P AH R S W EY D
persuading,0.53,P AH R S W EY D IH NG
persuasion,1.96,P AH R S W EY ZH IH N
persuasive,2.18,P AH R S W EY S IH V
persuasively,0.02,P AH R S W EY S IH V L IY
pert,0.49,P AH R T
pertain,0.27,P AH R T EY N
pertinent,1.18,P AH R T AH N IH N T
perturb,0.04,P AH R T AH R B
perturbation,0.04,P AH R T AH R B EY SH IH N
perusal,0.1,P AH R UW Z AH L
peruse,0.35,P AH R UW Z
pervade,0.02,P AH R V EY D
pervasive,0.31,P AH R V EY S IH V
perverse,1.29,P AH R V AH R S
perversely,0.08,P AH R V AH R S L IY
pervert,6.9,P AH R V AH R T
pessimism,0.29,P EH S AH M IH Z AH M
pessimist,0.51,P EH S AH M AH S T
pessimistic,0.59,P EH S AH M IH S T IH K
pest,2.86,P EH S T
pester,0.53,P EH S T AH R
pesticide,0.35,P EH S T IH S AY D
pestilent,0.02,P EH S T AH L AH N T
pestle,0.61,P EH S T AH L
pet,20.18,P EH T
petal,0.88,P EH T AH L
peter,90.12,P IY T AH R
petit,0.98,P EH T IY
petite,1.06,P AH T IY T
petition,4.22,P AH T IH SH IH N
petitioner,0.47,P AH T IH SH AH N AH R
petrify,0.04,P EH T R AH F AY
petroleum,1.25,P AH T R OW L IY AH M
pettiness,0.16,P EH T IY N AH S
petty,8.59,P EH T IY
petulance,0.1,P EH CH AH L AH N S
petulant,0.31,P EH CH UH L AH N T
pew,1.04,P Y UW
pfennig,0.04,F EH N IH G
phalanx,0.14,F EY L AE NG K S
phantasy,0.02,F AE N T AH S IY
phantom,4.08,F AE N T AH M
pharmaceutical,2.04,F AA R M AH S UW T IH K AH L
pharmacist,1.53,F AA R M AH S IH S T
pharmacological,0.04,F AA R M AH K AH L AA JH IH K AH L
pharmacy,3.43,F AA R M AH S IY
phase,12.33,F EY Z
pheasant,0.8,F EH Z AH N T
phenomenal,2.31,F IH N AA M AH N AH L
phenomenon,4.59,F IH N AA M AH N AA N
philanthropic,0.31,F IH L IH N TH R AA P IH K
philanthropist,0.88,F AH L AE N TH R AH P IH S T
philanthropy,0.08,F AH L AE N TH R AH P IY
philharmonic,0.75,F IH L HH AH R M AA N IH K
philologist,0.08,F AH L AA L AH JH IH S T
philosopher,3.04,F AH L AA S AH F AH R
philosophic,0.08,F IH L IH S AA F IH K
philosophical,1.59,F IH L AH S AA F IH K AH L
philosophize,0.1,F AH L AA S AH F AY Z
philosophy,8.27,F AH L AA S AH F IY
phone,269.73,F OW N
phonetic,0.24,F AH N EH T IH K
phonetics,0.1,F AH N EH T IH K S
phonograph,1.1,F OW N AH G R AE F
phony,8.25,F OW N IY
phosphate,0.43,F AA S F EY T
phosphor,0.02,F AA S F AO R
phosphorescent,0.12,F AA S F AH R EH S AH N T
phosphorus,0.67,F AA S F AH R AH S
photo,22.84,F OW T OW
photochemical,0.02,F OW T OW K EH M IH K AH L
photogenic,0.59,F OW T OW JH EH N IH K
photograph,11.35,F OW T OW G R AE F
photographer,9.12,F AH T AA G R AH F AH R
photographic,1.9,F OW T IH G R AE F IH K
photography,3.88,F AH T AA G R AH F IY
photosensitive,0.04,F OW T OW S EH N S IH T IH V
phrase,9.1,F R EY Z
phraseology,0.06,F R EY Z IY AA L AH JH IY
phrasing,0.25,F R EY Z IH NG
phylum,0.14,F AY L AH M
physical,27.18,F IH Z IH K AH L
physically,9.24,F IH Z IH K L IY
physician,6.14,F IH Z IH SH IH N
physicist,1.35,F IH Z IH S IH S T
physics,9.45,F IH Z IH K S
physiognomy,0.02,F IH Z IY AA G N AH M IY
physiological,0.63,F IH Z IY AH L AA JH IH K AH L
physiologist,0.1,F IH Z IY AA L AH JH IH S T
physiology,0.96,F IH Z IY AA L AH JH IY
physique,0.65,F AH Z IY K
pi,3.67,P AY
pianist,1.69,P IY AE N IH S T
piano,24.86,P IY AE N OW
piazza,0.49,P IY AE Z AH
picayune,0.06,P IH K IY Y UW N
pick,198.39,P IH K
pickaxe,0.16,P IH K AE K S
picker,0.61,P IH K AH R
picket,2.22,P IH K IH T
picking,32.51,P IH K IH NG
pickle,4.61,P IH K AH L
pickoff,0.02,P IH K AO F
pickup,7.63,P IH K AH P
picnic,11.69,P IH K N IH K
pictorial,0.2,P IH K T OW R IY AH L
picture,138.45,P IH K CH AH R
picturesque,0.49,P IH K CH AH R EH S K
picturing,1.12,P IH K CH AH R IH NG
piddle,0.1,P IH D AH L
pidgin,0.06,P IH JH IH N
pie,28.75,P AY
piece,124.49,P IY S
piecemeal,0.12,P IY S M IY L
pier,6.55,P IH R
pierce,25.75,P IH R S
piety,0.57,P AY AH T IY
pig,39.14,P IH G
pigeon,5.9,P IH JH IH N
pigeonhole,0.08,P IH JH AH N HH OW L
pigment,0.29,P IH G M AH N T
pigpen,0.31,P IH G P EH N
pigskin,0.39,P IH G S K IH N
pike,4.59,P AY K
pile,13.18,P AY L
pilfer,0.02,P IH L F AH R
pilgrim,3.69,P IH L G R AH M
pilgrimage,1.14,P IH L G R AH M IH JH
pill,11.82,P IH L
pillage,0.61,P IH L IH JH
pillar,1.59,P IH L AH R
pillory,0.1,P IH L AH R IY
pillow,11.39,P IH L OW
pilot,26.67,P AY L AH T
piloting,0.49,P AY L AH T IH NG
pimp,8.63,P IH M P
pimple,1.67,P IH M P AH L
pimpled,0.04,P IH M P AH L D
pin,16.37,P IH N
pinafore,0.08,P IH N AH F OW R
pinball,1.53,P IH N B AO L
pinch,6.12,P IH N CH
pine,6.2,P AY N
pineapple,2.55,P AY N AE P AH L
ping,3.29,P IH NG
pinhead,0.84,P IH N HH EH D
pinhole,0.24,P IH N HH OW L
pinion,0.16,P IH N Y AH N
pink,28.47,P IH NG K
pinnacle,0.43,P IH N IH K AH L
pinning,0.84,P IH N IH NG
pinochle,0.53,P IY N AH K AH L
pinpoint,1.8,P IH N P OY N T
pint,3.27,P AY N T
pinto,0.84,P IH N T OW
pioneer,2.08,P AY AH N IH R
pious,0.94,P AY AH S
pip,2.57,P IH P
pipe,19.39,P AY P
pipeline,2.24,P AY P L AY N
piper,30.47,P AY P AH R
piping,0.71,P AY P IH NG
piquant,0.2,P IY K AH N T
pique,0.25,P IY K
piracy,0.8,P AY R IH S IY
pirate,7.35,P AY R AH T
pirouette,0.29,P IH R OW EH T
piss,23.59,P IH S
pistachio,1.51,P AH S T AE SH IY OW
pistol,10.06,P IH S T AH L
piston,1.18,P IH S T IH N
pit,13.22,P IH T
pitch,15.53,P IH CH
pitcher,3.24,P IH CH AH R
pitchfork,0.69,P IH CH F AO R K
pitching,3.76,P IH CH IH NG
piteous,0.16,P IH T IY AH S
pitfall,0.02,P IH T F AO L
pith,0.2,P IH TH
pithy,0.39,P IH TH IY
pitiable,0.14,P IH T IY AH B AH L
pitiful,3.84,P IH T IH F AH L
pitiless,0.12,P IH T IH L AH S
pituitary,0.63,P AH T UW IH T EH R IY
pity,23.51,P IH T IY
pivot,0.45,P IH V AH T
pivotal,0.86,P IH V AH T AH L
pixie,0.82,P IH K S IY
pizza,33.51,P IY T S AH
placate,0.37,P L EY K EY T
place,602.67,P L EY S
placement,1.92,P L EY S M AH N T
placid,0.57,P L AE S IH D
placing,2.88,P L EY S IH NG
plagiarism,0.35,P L EY JH AH R IH Z AH M
plague,8.31,P L EY G
plaid,1.61,P L AE D
plain,21.82,P L EY N
plainclothes,0.55,P L EY N K L OW Z
plainest,0.04,P L EY N AH S T
plainly,1.86,P L EY N L IY
plaintiff,3.67,P L EY N T IH F
plaintive,0.12,P L EY N T IH V
plan,145.73,P L AE N
plane,95.53,P L EY N
planeload,0.06,P L EY N L OW D
planer,0.1,P L EY N AH R
planet,38.73,P L AE N IH T
planetarium,0.39,P L AE N IH T EH R IY AH M
planetary,1.08,P L AE N IH T EH R IY
planetoid,0.04,P L AE N IH T OY D
plank,2.04,P L AE NG K
planking,0.04,P L AE NG K IH NG
planner,1.63,P L AE N AH R
planning,37.29,P L AE N IH NG
plant,27.61,P L AE N T
plantain,0.02,P L AE N T AH N
plantation,3.33,P L AE N T EY SH IH N
planter,0.63,P L AE N T AH R
planting,2.12,P L AE N T IH NG
plaque,2.08,P L AE K
plasma,4.98,P L AE Z M AH
plaster,2.63,P L AE S T AH R
plasterer,0.12,P L AE S T AH R AH R
plastering,0.16,P L AE S T AH R IH NG
plastic,18.76,P L AE S T IH K
plasticity,0.08,P L AE S T IH S IH T IY
plat,0.08,P L AE T
plate,25.65,P L EY T
plateau,0.57,P L AE T OW
platform,6.14,P L AE T F AO R M
platinum,2.41,P L AE T AH N AH M
platoon,7.22,P L AH T UW N
platter,2.92,P L AE T AH R
plausible,1.63,P L AO Z AH B AH L
play,354.53,P L EY
playable,0.06,P L EY AH B AH L
playback,1.47,P L EY B AE K
playboy,4.24,P L EY B OY
player,37.76,P L EY AH R
playful,1.16,P L EY F AH L
playground,5.1,P L EY G R AW N D
playhouse,0.65,P L EY HH AW S
playing,147.35,P L EY IH NG
playmate,1.24,P L EY M EY T
playoff,0.61,P L EY AO F
playroom,0.8,P L EY R UW M
playtime,0.94,P L EY T AY M
playwright,1.41,P L EY R AY T
playwriting,0.06,P L EY R AY T IH NG
plaza,5.9,P L AE Z AH
plea,6.84,P L IY
plead,7,P L IY D
pleader,0.02,P L IY D AH R
pleading,2.27,P L IY D IH NG
pleasance,0.02,P L EH Z AH N S
pleasant,21.02,P L EH Z AH N T
pleasantly,1.02,P L EH Z AH N T L IY
please,1100.96,P L IY Z
pleasing,1.55,P L IY Z IH NG
pleasingly,0.04,P L IY Z IH NG L IY
pleasure,80.75,P L EH ZH AH R
pleat,0.06,P L IY T
plebeian,0.18,P L IH B IY AH N
pledge,6.88,P L EH JH
plenary,0.1,P L EH N AH R IY
plenipotentiary,0.04,P L EH N AH P AH T EH N CH AH R IY
plenitude,0.04,P L EH N IH T UW D
plentiful,0.29,P L EH N T IH F AH L
plenty,62.31,P L EH N T IY
pleura,0.1,P L UH R AH
pleural,0.29,P L UH R AH L
pliable,0.14,P L AY AH B AH L
pliers,1.16,P L AY R Z
plight,1.24,P L AY T
plink,0.29,P L IH NG K
plod,0.1,P L AA D
plodding,0.12,P L AA D IH NG
plop,0.84,P L AA P
plot,11.59,P L AA T
plow,1.88,P L AW
plowing,0.65,P L AW IH NG
plowman,0.06,P L AW M AH N
pluck,2.31,P L AH K
plug,10.41,P L AH G
plum,3.41,P L AH M
plumb,1.69,P L AH M
plumber,4.49,P L AH M AH R
plumbing,4.84,P L AH M IH NG
plume,0.47,P L UW M
plummet,0.41,P L AH M AH T
plump,1.47,P L AH M P
plunder,0.84,P L AH N D AH R
plundering,0.16,P L AH N D AH R IH NG
plunge,2.24,P L AH N JH
plunk,0.14,P L AH NG K
pluralism,0.02,P L UH R AH L IH Z AH M
pluralistic,0.02,P L UH R AH L IH S T IH K
plus,47.04,P L AH S
plush,0.55,P L AH SH
ply,0.31,P L AY
plywood,0.45,P L AY W UH D
pneumonia,5.04,N UH M OW N Y AH
poach,0.33,P OW CH
pocket,35.71,P AA K IH T
pocketbook,1.49,P AA K IH T B UH K
pocketful,0.41,P AA K IH T F UH L
pod,8,P AA D
podium,1.27,P OW D IY AH M
poem,13.65,P OW AH M
poet,9.22,P OW AH T
poetic,2.69,P OW EH T IH K
poetry,13.37,P OW AH T R IY
pogrom,0.12,P OW G R AA M
poignancy,0.04,P OY N Y AH N S IY
poignant,0.51,P OY N Y AH N T
point,236.53,P OY N T
pointed,7.59,P OY N T IH D
pointer,1.08,P OY N T AH R
pointless,3.59,P OY N T L AH S
poise,1.1,P OY Z
poison,24.55,P OY Z AH N
poisoning,5.92,P OY Z AH N IH NG
poisonous,3.33,P OY Z AH N AH S
poke,5.84,P OW K
poker,16.06,P OW K AH R
polar,2.65,P OW L AH R
polarity,0.35,P OW L AE R AH T IY
polarization,0.08,P OW L AH R IH Z EY SH IH N
polarize,0.02,P OW L AH R AY Z
pole,12.59,P OW L
polecat,0.29,P OW L K AE T
polemic,0.04,P AH L EH M IH K
police,236.16,P AH L IY S
policeman,11.73,P AH L IY S M AH N
policing,0.18,P AH L IY S IH NG
policy,27.02,P AA L IH S IY
polio,0.88,P OW L IY OW
polish,9.67,P AA L IH SH
polite,13.94,P AH L AY T
politeness,0.57,P AH L AY T N EH S
politic,0.35,P AA L IH T IH K
political,21.86,P AH L IH T IH K AH L
politician,3.27,P AA L IH T IH SH IH N
politicking,0.02,P AA L IH T IH K IH NG
politico,0.06,P AH L IH T IH K OW
politics,16.57,P AA L IH T IH K S
polka,2.43,P OW L K AH
poll,2.49,P OW L
pollen,1.22,P AA L IH N
pollute,0.45,P AH L UW T
pollution,1.9,P AH L UW SH AH N
polo,3.49,P OW L OW
polonaise,0.06,P AA L AH N EY Z
polyester,1.24,P AA L IY EH S T AH R
polyethylene,0.12,P AA L IY EH TH AH L IY N
polymer,0.63,P AA L AH M AH R
polymerization,0.02,P AH L IH M AH R IH Z EY SH AH N
polynomial,0.06,P AA L IH N OW M IY AH L
polystyrene,0.02,P AA L IY S T AY R IY N
polytechnic,0.16,P AA L IH T EH K N IH K
polyunsaturated,0.02,P AA L IY AH N S AE CH AH R EY T IH D
pomade,0.12,P OW M EY D
pomp,0.39,P AA M P
pompon,0.02,P AA M P AA N
pompous,2.39,P AA M P AH S
poncho,0.86,P AA N CH OW
pond,6.33,P AA N D
ponder,1.1,P AA N D AH R
ponderous,0.22,P AA N D AH R AH S
pontificate,0.04,P AA N T IH F IH K EY T
pony,8.1,P OW N IY
pooch,1.29,P UW CH
poodle,2.84,P UW D AH L
pool,46.98,P UW L
poor,129.08,P UH R
poorer,1.47,P UW R AH R
poorest,0.65,P UW R IH S T
poorly,2.61,P UH R L IY
pop,67.47,P AA P
pope,10.71,P OW P
poplar,0.25,P AA P L AH R
poplin,0.06,P AA P L IH N
poppy,3.96,P AA P IY
populace,0.31,P AA P Y UH L AH S
popular,23.08,P AA P Y UH L AH R
popularity,2.92,P AA P Y UH L AE R AH T IY
populate,0.24,P AA P Y UH L EY T
population,9.1,P AA P Y UH L EY SH IH N
populous,0.04,P AA P Y UH L AH S
porcelain,1.57,P OW R S AH L AH N
porch,9.63,P OW R CH
porcupine,0.65,P AO R K Y UW P AY N
pore,0.47,P OW R
pork,10.53,P OW R K
pornographer,0.37,P AO R N AA G R AH F AH R
pornographic,1.53,P AO R N AH G R AE F IH K
porosity,0.02,P AH R AA S IH T IY
porous,0.29,P OW R IH S
porpoise,0.35,P AO R P AH S
porridge,0.82,P AO R IH JH
port,14.53,P OW R T
portable,4,P OW R T AH B AH L
portal,4.35,P OW R T AH L
portend,0.06,P AO R T EH N D
portent,0.12,P AO R T EH N T
portentous,0.08,P AO R T EH N SH IH S
porter,15.59,P OW R T AH R
portfolio,2.04,P OW R T F OW L IY OW
portico,0.31,P OW R T IH K OW
portion,4.33,P OW R SH IH N
portly,0.16,P OW R T L IY
portrait,5.43,P OW R T R AH T
portraiture,0.1,P OW R T R AH CH UH R
portray,0.84,P OW R T R EY
portrayal,0.35,P AO R T R EY AH L
pose,6.8,P OW Z
poseur,0.1,P OW Z AH R
position,72.08,P AH Z IH SH IH N
positive,31.63,P AA Z IH T IH V
positively,6.08,P AA Z IH T IH V L IY
posse,4.33,P AA S IY
possess,5.49,P AH Z EH S
possession,13.33,P AH Z EH SH IH N
possessive,1.27,P AH Z EH S IH V
possessor,0.2,P AH Z EH S AH R
possibility,20.29,P AA S IH B IH L IH T IY
possible,114.04,P AA S IH B AH L
possum,2.06,P AA S AH M
post,32.43,P OW S T
postal,1.88,P OW S T AH L
postcard,4.14,P OW S T K AA R D
poster,5.98,P OW S T AH R
posterior,0.61,P AA S T IH R IY AH R
posterity,0.65,P AA S T EH R AH T IY
postgraduate,0.24,P OW S T G R AE JH UW IH T
posthumous,0.25,P AA S CH AH M AH S
postman,2.51,P OW S T M AH N
postmark,0.37,P OW S T M AA R K
postmaster,0.33,P OW S T M AE S T AH R
postpone,3.9,P OW S T P OW N
postponement,0.51,P OW S P OW N M AH N T
postscript,0.31,P OW S K R IH P T
postulate,0.06,P AA S CH AH L AH T
posture,1.73,P AA S CH AH R
postwar,0.29,P OW S T W AO R
pot,22.53,P AA T
potassium,1.65,P AH T AE S IY AH M
potato,11.29,P AH T EY T OW
potboiler,0.02,P AA T B OY L AH R
potency,0.47,P OW T AH N S IY
potent,1.49,P OW T AH N T
potential,18.82,P AH T EH N CH AH L
potentiality,0.04,P AH T EH N CH IY AE L IH T IY
pothole,0.49,P AA T HH OW L
potion,7.45,P OW SH IH N
potpourri,0.47,P OW P UH R IY
potter,20.37,P AA T AH R
pottery,1.84,P AA T AH R IY
pouch,1.71,P AW CH
poultice,0.29,P OW L T IH S
poultry,1,P OW L T R IY
pound,13.88,P AW N D
pounding,6.08,P AW N D IH NG
pour,15.12,P UH R
pout,1.08,P AW T
poverty,4.33,P AA V AH R T IY
powder,16.04,P AW D AH R
powderpuff,0.02,P AW D AH R P AH F
powdery,0.1,P AW D AH R IY
power,149.02,P AW AH R
powerful,35.12,P AW AH R F AH L
powerless,3.76,P AW AH R L IH S
practical,11.31,P R AE K T IH K AH L
practicality,0.14,P R AE K T IH K AE L IH T IY
practically,22.84,P R AE K T IH K AH L IY
practice,45.69,P R AE K T IH S
practicing,9.88,P R AE K T AH S IH NG
practitioner,0.84,P R AE K T IH SH IH N AH R
pragmatic,0.59,P R AE G M AE T IH K
pragmatism,0.22,P R AE G M AH T IH Z AH M
prairie,2.8,P R EH R IY
praise,9.45,P R EY Z
pram,0.22,P R AA M
prance,0.76,P R AE N S
prank,4,P R AE NG K
pray,36.22,P R EY
prayer,15.78,P R AE R
prayerful,0.02,P R AE R F AH L
pre,0.39,P R IY
preach,2.39,P R IY CH
preacher,6.71,P R IY CH AH R
preaching,2.08,P R IY CH IH NG
preamble,0.31,P R IY AE M B AH L
prearrange,0.04,P R IH R EY N JH
precarious,0.39,P R IH K AE R IY AH S
precaution,3.41,P R IH K AO SH IH N
precautionary,0.65,P R IH K AO SH AH N EH R IY
precede,0.27,P R IY S IY D
precedence,0.53,P R EH S IH D IH N S
precedent,2.49,P R EH S IH D AH N T
preceding,0.67,P R IH S IY D IH NG
precept,0.14,P R IY S EH P T
precinct,7.33,P R IY S IH NG K T
precious,23.35,P R EH SH IH S
precipice,0.49,P R EH S AH P AH S
precipitate,0.12,P R IH S IH P AH T EY T
precise,5.2,P R IH S AY S
precisely,11.98,P R IY S AY S L IY
precision,2.94,P R IH S IH ZH IH N
preclude,0.29,P R IH K L UW D
precocious,0.47,P R IH K OW SH IH S
precociously,0.02,P R IH K OW SH AH S L IY
precocity,0.06,P R IH K AA S IH T IY
preconception,0.02,P R IY K AH N S EH P SH AH N
precondition,0.08,P R IY K AH N D IH SH AH N
preconscious,0.04,P R IY K AA N SH AH S
precut,0.02,P R IY K AH T
predecessor,0.92,P R EH D IH S EH S AH R
predicament,1.96,P R IH D IH K AH M AH N T
predict,3.98,P R IH D IH K T
predictability,0.1,P R IH D IH K T AH B IH L IH T IY
predictable,3.02,P R IY D IH K T AH B AH L
prediction,1.29,P R IY D IH K SH AH N
predictive,0.18,P R IY D IH K T IH V
predictor,0.06,P R IH D IH K T AH R
predigest,0.04,P R IY D AY JH EH S T
predilection,0.25,P R EH D AH L EH K SH IH N
predispose,0.02,P R IY D IH S P OW Z
predisposition,0.24,P R IY D IH S P AH Z IH SH IH N
predominance,0.04,P R IH D AA M AH N AH N S
predominant,0.14,P R IH D AA M AH N AH N T
predominantly,0.37,P R IH D AA M AH N AH N T L IY
predominate,0.06,P R IH D AA M AH N IH T
preen,0.06,P R IY N
prefab,0.18,P R IY F AE B
preface,0.55,P R EH F AH S
prefecture,0.33,P R IY F EH K CH AH R
prefer,32.92,P R IH F AH R
preferable,0.92,P R EH F AH R AH B AH L
preference,2.33,P R EH F AH R AH N S
preferential,0.39,P R EH F AH R EH N CH AH L
preferment,0.04,P R IH F AH R M AH N T
prefix,0.41,P R IY F IH K S
preflight,0.1,P R IY F L AY T
pregnancy,6.55,P R EH G N AH N S IY
pregnant,52.02,P R EH G N IH N T
prehistoric,1.73,P R IY IH S T AO R IH K
prejudge,0.02,P R IY JH AH JH
prejudice,3.2,P R EH JH IH D IH S
prejudicial,0.53,P R EH JH IH D IH SH AH L
preliminary,4.78,P R IH L IH M IH N EH R IY
prelude,0.59,P R EH L Y UW D
premarital,0.65,P R IY M AE R IH T AH L
premature,3.47,P R IY M AH T UH R
premier,2.49,P R IH M IH R
premiere,3.71,P R IH M Y EH R
premise,1.2,P R EH M AH S
premium,1.73,P R IY M IY AH M
premonition,3.71,P R IH M AH N IH SH IH N
premonitory,0.02,P R IH M AA N IH T OW R IY
preoccupation,0.37,P R IY AA K Y UW P EY SH IH N
preoccupy,0.06,P R IY AA K Y AH P AY
prep,7.55,P R EH P
preparation,4.04,P R EH P AH R EY SH IH N
preparatory,0.29,P R IH P AE R AH T OW R IY
prepare,33.55,P R IH P AE R
preparedness,0.16,P R IH P AE R AH D N IH S
prepayment,0.08,P R IY P EY M AH N T
preponderance,0.27,P R IH P AA N D AH R AH N S
preposition,0.31,P R EH P AH Z IH SH IH N
prepositional,0.04,P R EH P AH Z IH SH AH N AH L
preposterous,3.04,P R IH P AA S T AH R AH S
prepubescent,0.16,P R IY P Y UW B EH S AH N T
prerequisite,0.25,P R IH R EH K W AH Z IH T
prerogative,1.31,P AH R R AA G IH T IH V
presage,0.04,P R EH S IH JH
preschool,1.2,P R IY S K UW L
prescribe,1.45,P R IH S K R AY B
prescription,7.37,P R AH S K R IH P SH AH N
prescriptive,0.04,P R IH S K R IH P T IH V
presence,20.86,P R EH Z AH N S
present,89.45,P R EH Z AH N T
presentable,0.98,P R IH Z EH N T AH B AH L
presentation,7.22,P R IY Z EH N T EY SH IH N
presenter,0.39,P R IY Z EH N T AH R
presently,2.25,P R EH Z AH N T L IY
presentment,0.02,P R IH Z EH N T M AH N T
preservation,1.08,P R EH Z AH R V EY SH IH N
preserve,5.63,P R IY Z AH R V
preside,0.33,P R IH Z AY D
presidency,2.45,P R EH Z IH D AH N S IY
president,140.67,P R EH Z IH D IH N T
presidential,5.59,P R EH Z AH D EH N CH AH L
press,60.2,P R EH S
presser,0.04,P R EH S AH R
pressing,5.67,P R EH S IH NG
pressure,53.12,P R EH SH AH R
prestidigitator,0.02,P R EH S T IH D IH JH AH T EY T AH R
prestige,1.37,P R EH S T IY ZH
presto,0.69,P R EH S T OW
presume,8.14,P R IH Z UW M
presumption,0.75,P R IH Z AH M P SH IH N
presumptuous,1.35,P R IH Z AH M P CH UW AH S
presuppose,0.1,P R IY S AH P OW Z
presupposition,0.04,P R IY S AH P AH Z IH SH IH N
pretend,40.31,P R IH T EH N D
pretender,1.84,P R IH T EH N D AH R
pretense,0.86,P R IY T EH N S
pretension,0.25,P R IH T EH N CH IH N
pretentious,1.9,P R IH T EH N CH IH S
pretext,1.27,P R IY T EH K S T
pretrial,0.24,P R IY T R AY AH L
prettier,4.69,P R IH T IY AH R
prettiest,5.73,P R IH T IY AH S T
pretty,392.22,P R IH T IY
prevail,2.1,P R AH V EY L
prevalence,0.02,P R EH V AH L AH N S
prevalent,0.31,P R EH V AH L AH N T
prevent,13.06,P R AH V EH N T
prevention,0.63,P R IH V EH N SH AH N
preventive,0.24,P R IH V EH N T IH V
preview,1.43,P R IY V Y UW
previous,9.49,P R IY V IY AH S
prey,5.51,P R EY
price,53.37,P R AY S
priceless,4.16,P R AY S L AH S
pricing,0.27,P R AY S IH NG
prick,14.12,P R IH K
prickly,0.57,P R IH K L IY
pride,27.67,P R AY D
priest,26.2,P R IY S T
priestly,0.49,P R IY S T L IY
prim,0.37,P R IH M
primal,1.14,P R AY M AH L
primary,8.71,P R AY M EH R IY
primate,0.69,P R AY M EY T
prime,18.29,P R AY M
primer,0.59,P R IH M AH R
primeval,0.29,P R AY M IY V AH L
priming,0.24,P R AY M IH NG
primitive,5.16,P R IH M AH T IH V
primp,0.12,P R IH M P
prince,45.08,P R IH N S
princess,39.59,P R IH N S IH S
principal,13.75,P R IH N S IH P AH L
principia,0.02,P R IH N S IH P IY AH
principle,7.75,P R IH N S IH P AH L
print,19.96,P R IH N T
printer,2.1,P R IH N T AH R
printing,3.57,P R IH N T IH NG
prior,8.27,P R AY AH R
priority,10.18,P R AY AO R IH T IY
priory,0.02,P R AY AH R IY
prison,66.04,P R IH Z AH N
prisoner,23.14,P R IH Z AH N AH R
prissy,0.9,P R IH S IY
pristine,0.76,P R IH S T IY N
privacy,15.18,P R AY V AH S IY
private,75.96,P R AY V AH T
privation,0.1,P R AY V EY SH IH N
privet,0.02,P R IH V AH T
privilege,10.63,P R IH V AH L IH JH
privileged,3.37,P R IH V AH L IH JH D
privy,1.49,P R IH V IY
prix,0.57,P R IY
prize,22.39,P R AY Z
pro,14.16,P R OW
probabilistic,0.04,P R AA B AH B AH L IH S T IH K
probability,2.24,P R AA B AH B IH L IH T IY
probable,3.27,P R AA B AH B AH L
probably,280.84,P R AA B AH B L IY
probate,0.51,P R OW B EY T
